epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1112.41,1.86977,2.06266,1.60326,0.4163,0.40128,0.36512,0.16091,1.87189,2.01163,1.66128,0.008944,0.008944,0.008944
18,1175.91,1.86382,2.05637,1.59236,0.46281,0.37167,0.34366,0.1472,1.87009,2.0347,1.69122,0.008878,0.008878,0.008878
19,1239.03,1.85857,2.0402,1.59546,0.45471,0.37474,0.36741,0.16553,1.86552,1.94673,1.6551,0.008812,0.008812,0.008812
20,1302.95,1.85442,2.02762,1.59037,0.44889,0.41714,0.38501,0.16918,1.8649,1.95224,1.63913,0.008746,0.008746,0.008746
21,1364.46,1.83315,2.01156,1.57588,0.45567,0.40405,0.37972,0.1717,1.84683,1.93204,1.61504,0.00868,0.00868,0.00868
22,1425.62,1.82862,1.99232,1.57301,0.46135,0.36291,0.33256,0.14745,1.9354,2.22305,1.68196,0.008614,0.008614,0.008614
23,1489.42,1.82223,1.97562,1.56054,0.47074,0.41732,0.39151,0.17906,1.81926,1.9488,1.63596,0.008548,0.008548,0.008548
24,1561.76,1.81976,1.95955,1.566,0.49624,0.43957,0.41387,0.18751,1.81787,1.8856,1.60159,0.008482,0.008482,0.008482
25,1623.08,1.82456,1.96568,1.57302,0.5018,0.44086,0.43997,0.19946,1.80443,1.847,1.59944,0.008416,0.008416,0.008416
26,1681.04,1.80065,1.93656,1.5588,0.47699,0.47002,0.44389,0.20259,1.79315,1.8112,1.57749,0.00835,0.00835,0.00835
27,1739.13,1.80613,1.91655,1.54559,0.51907,0.43537,0.42859,0.19517,1.79448,1.89834,1.58835,0.008284,0.008284,0.008284
28,1795.07,1.77986,1.90549,1.5338,0.45653,0.38018,0.36802,0.16212,1.89916,2.00966,1.69728,0.008218,0.008218,0.008218
29,1860.99,1.78228,1.89414,1.52733,0.51916,0.45869,0.45605,0.20698,1.80213,1.79844,1.58495,0.008152,0.008152,0.008152
30,1918.22,1.7869,1.88746,1.53251,0.51535,0.43565,0.43252,0.19785,1.81544,1.8547,1.58459,0.008086,0.008086,0.008086
31,1972.17,1.78488,1.87649,1.52946,0.52776,0.44666,0.45683,0.2148,1.77371,1.7838,1.56128,0.00802,0.00802,0.00802
32,2026.5,1.77123,1.87207,1.52399,0.53272,0.43854,0.45704,0.21094,1.78511,1.79945,1.57156,0.007954,0.007954,0.007954
33,2082.78,1.76693,1.86237,1.51946,0.51503,0.45791,0.44355,0.20343,1.78752,1.85428,1.55282,0.007888,0.007888,0.007888
34,2137.9,1.75516,1.84717,1.5189,0.52507,0.49198,0.47138,0.21713,1.78137,1.73921,1.58538,0.007822,0.007822,0.007822
35,2193.21,1.75348,1.83339,1.51184,0.54259,0.46261,0.46635,0.21561,1.75601,1.75661,1.55061,0.007756,0.007756,0.007756
36,2259.47,1.74184,1.82691,1.50752,0.54851,0.48435,0.48973,0.23309,1.74153,1.69435,1.52836,0.00769,0.00769,0.00769
37,2313.21,1.75319,1.83239,1.50631,0.54091,0.47229,0.4775,0.22229,1.74398,1.76215,1.54519,0.007624,0.007624,0.007624
38,2367.43,1.74413,1.82279,1.50112,0.52685,0.48836,0.48037,0.22077,1.75855,1.75423,1.54209,0.007558,0.007558,0.007558
39,2424.9,1.74407,1.81108,1.50455,0.54121,0.49226,0.49263,0.23236,1.73113,1.702,1.5301,0.007492,0.007492,0.007492
40,2479.64,1.733,1.79752,1.49527,0.55158,0.50167,0.50396,0.24267,1.71811,1.69472,1.51395,0.007426,0.007426,0.007426
41,2537.93,1.7323,1.79504,1.48913,0.53284,0.50024,0.49552,0.23848,1.72495,1.70666,1.53082,0.00736,0.00736,0.00736
42,2594.31,1.7261,1.78388,1.48556,0.54652,0.49,0.48662,0.23182,1.74454,1.70575,1.51574,0.007294,0.007294,0.007294
43,2648.01,1.72101,1.76184,1.48523,0.55464,0.47831,0.48116,0.22679,1.76169,1.77179,1.5371,0.007228,0.007228,0.007228
44,2702.98,1.71194,1.76109,1.47743,0.60417,0.49308,0.52489,0.25168,1.70803,1.63751,1.51329,0.007162,0.007162,0.007162
45,2756.21,1.71625,1.75083,1.47464,0.55573,0.50726,0.51471,0.24631,1.70212,1.672,1.49894,0.007096,0.007096,0.007096
46,2811.21,1.71519,1.75064,1.47419,0.54519,0.48751,0.49839,0.23753,1.72923,1.68698,1.50824,0.00703,0.00703,0.00703
47,2866.53,1.7114,1.74008,1.47441,0.54864,0.51451,0.51233,0.24834,1.71055,1.66242,1.50794,0.006964,0.006964,0.006964
48,2921.68,1.70401,1.73982,1.4796,0.60088,0.52156,0.53787,0.25905,1.68583,1.62511,1.4942,0.006898,0.006898,0.006898
49,2975.76,1.70068,1.72087,1.47256,0.5785,0.51625,0.5376,0.25998,1.69982,1.60689,1.5014,0.006832,0.006832,0.006832
50,3028.85,1.69002,1.72057,1.46398,0.58055,0.52812,0.53767,0.2602,1.69862,1.60331,1.50261,0.006766,0.006766,0.006766
51,3079.69,1.68982,1.70777,1.45817,0.56628,0.52656,0.53638,0.26455,1.68345,1.6059,1.48693,0.0067,0.0067,0.0067
52,3131.85,1.68165,1.69329,1.44853,0.59004,0.53587,0.55336,0.27486,1.67943,1.57076,1.46922,0.006634,0.006634,0.006634
53,3182.56,1.69438,1.70457,1.45792,0.57912,0.52866,0.53953,0.26634,1.68167,1.59655,1.47364,0.006568,0.006568,0.006568
54,3233.69,1.6811,1.68773,1.44784,0.56894,0.50723,0.51739,0.24652,1.72928,1.66963,1.50824,0.006502,0.006502,0.006502
55,3283.53,1.68263,1.6804,1.44331,0.58563,0.53538,0.54897,0.26997,1.68802,1.58058,1.48013,0.006436,0.006436,0.006436
56,3337.61,1.6832,1.68691,1.44921,0.58118,0.54307,0.55542,0.2715,1.6733,1.5751,1.46638,0.00637,0.00637,0.00637
57,3386.88,1.66466,1.65911,1.44026,0.5967,0.53423,0.56082,0.27727,1.68665,1.55941,1.46484,0.006304,0.006304,0.006304
58,3437.66,1.66619,1.66564,1.43887,0.60761,0.54345,0.56019,0.27734,1.67066,1.56277,1.47466,0.006238,0.006238,0.006238
59,3487.85,1.66328,1.64254,1.43145,0.59024,0.55354,0.57035,0.28415,1.65623,1.5497,1.45897,0.006172,0.006172,0.006172
60,3538.49,1.66488,1.65475,1.43801,0.61627,0.55272,0.58175,0.2923,1.65495,1.52735,1.45634,0.006106,0.006106,0.006106
61,3589.39,1.65394,1.64681,1.43449,0.61984,0.53918,0.57233,0.28235,1.67063,1.54193,1.45358,0.00604,0.00604,0.00604
62,3639.23,1.6472,1.62073,1.4206,0.62738,0.54316,0.57303,0.28804,1.66162,1.52537,1.45694,0.005974,0.005974,0.005974
63,3691.71,1.64179,1.60895,1.41815,0.61872,0.55533,0.57962,0.29064,1.66036,1.53424,1.46802,0.005908,0.005908,0.005908
64,3745.27,1.64443,1.62165,1.42388,0.64203,0.54368,0.59089,0.29672,1.6531,1.50186,1.44918,0.005842,0.005842,0.005842
65,3797.83,1.63368,1.61584,1.41515,0.60645,0.55081,0.5726,0.28484,1.65995,1.53189,1.45212,0.005776,0.005776,0.005776
66,3848.38,1.63858,1.61443,1.42176,0.6372,0.54627,0.58667,0.29525,1.64873,1.52311,1.4441,0.00571,0.00571,0.00571
67,3900.1,1.63443,1.59849,1.41174,0.63578,0.5522,0.58891,0.29587,1.65451,1.50366,1.45195,0.005644,0.005644,0.005644
68,3954.08,1.63151,1.58819,1.40404,0.6267,0.56,0.59316,0.29868,1.65372,1.49815,1.43746,0.005578,0.005578,0.005578
69,4004.93,1.62507,1.58541,1.40824,0.63014,0.56699,0.6063,0.30675,1.63828,1.48548,1.43532,0.005512,0.005512,0.005512
70,4058.65,1.62964,1.59038,1.40718,0.63966,0.57009,0.6043,0.30441,1.641,1.49563,1.43859,0.005446,0.005446,0.005446
71,4110.07,1.63362,1.58817,1.40569,0.63048,0.5729,0.59968,0.3034,1.63142,1.4977,1.43835,0.00538,0.00538,0.00538
72,4159.28,1.61492,1.57073,1.40293,0.62946,0.57667,0.60157,0.30541,1.62693,1.48441,1.43302,0.005314,0.005314,0.005314
73,4210.99,1.61649,1.56375,1.39404,0.63147,0.55498,0.59852,0.30156,1.63866,1.49546,1.43405,0.005248,0.005248,0.005248
74,4262.75,1.60711,1.55662,1.39181,0.64102,0.56943,0.60748,0.30831,1.6319,1.49119,1.42925,0.005182,0.005182,0.005182
75,4313.63,1.6062,1.54747,1.38741,0.64913,0.5701,0.61242,0.31068,1.64039,1.47396,1.4365,0.005116,0.005116,0.005116
76,4363.7,1.60994,1.55303,1.39326,0.63904,0.57704,0.61689,0.31693,1.62718,1.45257,1.43078,0.00505,0.00505,0.00505
77,4414.64,1.60168,1.54047,1.38887,0.63134,0.57453,0.61024,0.30985,1.63309,1.46443,1.43165,0.004984,0.004984,0.004984
78,4463.81,1.60853,1.55294,1.39567,0.65191,0.57717,0.61723,0.31384,1.62785,1.45468,1.4312,0.004918,0.004918,0.004918
79,4513.99,1.58997,1.52279,1.38348,0.66324,0.56803,0.61909,0.31581,1.62661,1.45068,1.42781,0.004852,0.004852,0.004852
80,4564.59,1.58893,1.5176,1.38168,0.65887,0.58316,0.62557,0.32218,1.62583,1.43949,1.42989,0.004786,0.004786,0.004786
81,4615.07,1.58939,1.51717,1.37964,0.63614,0.59392,0.61739,0.31804,1.6274,1.44212,1.42965,0.00472,0.00472,0.00472
82,4665.31,1.58912,1.5103,1.37938,0.63251,0.58629,0.61858,0.31597,1.6285,1.44993,1.4282,0.004654,0.004654,0.004654
83,4716.16,1.58504,1.50797,1.37255,0.6231,0.59264,0.61807,0.31849,1.62586,1.44401,1.4199,0.004588,0.004588,0.004588
84,4765.63,1.5868,1.51535,1.37425,0.63324,0.59772,0.62505,0.3245,1.62409,1.42375,1.41818,0.004522,0.004522,0.004522
85,4817.46,1.57528,1.49317,1.3691,0.64306,0.59544,0.62593,0.32279,1.6221,1.43235,1.4136,0.004456,0.004456,0.004456
86,4867.79,1.57703,1.49511,1.36667,0.64645,0.5915,0.63226,0.32706,1.6207,1.41084,1.41354,0.00439,0.00439,0.00439
87,4918.16,1.55959,1.47806,1.35679,0.64966,0.58689,0.62809,0.3255,1.62242,1.42663,1.41501,0.004324,0.004324,0.004324
88,4968.09,1.57412,1.48841,1.36353,0.68071,0.57911,0.63862,0.33252,1.60759,1.4125,1.40664,0.004258,0.004258,0.004258
89,5018.09,1.56727,1.4815,1.36111,0.66603,0.59156,0.64008,0.33629,1.60783,1.40617,1.41192,0.004192,0.004192,0.004192
90,5068.26,1.56908,1.47665,1.3639,0.68166,0.58716,0.63506,0.33377,1.60956,1.40106,1.41158,0.004126,0.004126,0.004126
91,5119.13,1.56506,1.47621,1.36092,0.6764,0.58654,0.6379,0.33414,1.60754,1.39616,1.40941,0.00406,0.00406,0.00406
92,5168.52,1.56318,1.47359,1.3587,0.66604,0.59279,0.64129,0.33498,1.60583,1.3969,1.40622,0.003994,0.003994,0.003994
93,5219.97,1.55947,1.46125,1.35435,0.66649,0.58756,0.64136,0.33449,1.60671,1.39754,1.40839,0.003928,0.003928,0.003928
94,5269.55,1.55293,1.45121,1.35369,0.66978,0.58879,0.64262,0.33538,1.61163,1.3923,1.40933,0.003862,0.003862,0.003862
95,5320.01,1.55594,1.45183,1.35238,0.65577,0.60123,0.64485,0.33742,1.612,1.38831,1.4071,0.003796,0.003796,0.003796
96,5371.37,1.55025,1.44527,1.34667,0.65653,0.59482,0.64493,0.33721,1.61403,1.38857,1.40859,0.00373,0.00373,0.00373
